Ball,Score,Bowler,Batsmen,Commentry
7.2,1,Swepson,Ferguson, shorter on middle  he's back and working to midwicket
7.1,1,Swepson,Ross, leg break on off  he's back and working this to mid on
6.6,3,Zahir,to, fuller wrong un  he drives to deep cover and they run very well
6.5,1,Zahir,to, wrong un  short and wide  he cuts hard to deep point
6.4,1,Zahir,to, swept hard to deep backward square
6.3,2,Zahir,to, reverse sweep  he gets a top edge and it flies wide of slip and it runs fine of third man
6.2,0,Zahir,to, wrong un on off  beats him cold. He didn't pick it
6.2,1w,Zahir,to, leg break  wide down leg  great take by Banton. Some turn there
6.1,1,Zahir,to, wrong un  short  he pulls to deep midwicket
5.6,0,Steketee,Ross, back of a length  129kph  into the thigh  he turns this to short fine
5.5,0,Steketee,Ross, fuller and straight on middle  139kph  he defends on the front foot
5.4,1,Steketee,Ferguson, back of a length  he's back and defending to point for a single
5.3,1,Steketee,Ross, 136kph  back of a length he's back and punching behind point to a wide third man
5.2,4,Steketee,Ross, 135kph  short and wide  he stands up and eases a cut shot past point! Bad ball
5.1,0,Steketee,Ross, beaten by 142kph  good length ball
4.6,W,Laughlin,Gilkes, caught at deep square! Great catch Heazlett! This was a length ball and he smoked it high and long off the middle of the bat to deep square  Heazlett has to camp under it for ages but takes it well 5 metres from the rope
4.5,0,Laughlin,Gilkes, slower ball wide of off  he swings hard but misses
4.4,4,Laughlin,Gilkes, 137kph  full outside off  he slices this up and over cover! Didn't nail it but got it well enough
4.3,0,Laughlin,Gilkes, slower ball  off spinner  it bounces  he bunts this to point
4.2,0,Laughlin,Gilkes, on speed  skids through  hits the pads  bounces up and nearly lands on the stumps!
4.1,0,Laughlin,Gilkes, slower ball  he pushes to cover
3.6,4,Steketee,Ferguson, glorious off drive straight of mid off! Over-pitched  he leaned into a classical drive straight of mid off
3.5,W,Steketee,Hales, caught at deep square! 127kph  back of a length  slightly slower off cutter  he tried to pull but miscued  spooning it high over square leg  Heazlett runs in and takes an easy catch
3.4,2,Steketee,Hales, good length  top of middle  he works it forward of square to the big boundary
3.3,0,Steketee,Hales, good length on off  he defends to cover
3.2,4,Steketee,Hales, full on leg  he clips this powerfully past midwicket in the air! Lynn almost got a touch to it diving at full stretch to his left
3.1,0,Steketee,Hales, 132kph  length ball  he square drives and picks out point
2.6,0,Lalor,Ferguson, 129kph  back of a length  he punches to point
2.5,0,Lalor,Ferguson, beaten off cutter back of a length and he's squared up
2.4,W,Lalor,Khawaja, caught at deep square! Good bowling. High bouncer wider of off  he took on the hook  couldn't control it  the top edge goes straight down the throat of the man at backward square
2.3,1,Lalor,Hales, 141kph  fuller wide of off  he drives to wide of mid off
2.2,1,Lalor,Khawaja, he skips down and stays leg side  slower ball  length  he guides it to backward point
2.1,4,Lalor,Khawaja, full and straight flicked high over square leg! One bounce four. Angled in and he pinged it over square leg
1.6,0,Steketee,Hales, fuller on off  he drives fluently to mid off
1.5,0,Steketee,Hales, 140kph  full into the pads  an lbw appeal but it's going down
1.4,1,Steketee,Khawaja, fuller on off  138kph  he leans on a drive straight of mid off
1.3,4,Steketee,Khawaja, gives room  exposing the stumps and smashes this from middle through cover-point! A length ball hammered! What a shot
1.2,4,Steketee,Khawaja, leg stump line  he flicks a glance fine! Fine leg is up. Too straight. He picked it off
1.1,0,Steketee,Khawaja, length ball on off  he mistimes back to the bowler
0.6,1lb,Lalor,Khawaja, he walks down early  slower ball catches the thigh pad and rolls fine for a leg bye
0.5,0,Lalor,Khawaja, slower ball on leg  he glances fine but straight to short fine
0.4,0,Lalor,Khawaja, lbw appeal but not out! An inside edge maybe? That looked plumb! He was caught on the crease to one that nipped back. The umpire must have thought he hit it
0.3,4,Lalor,Khawaja, length but wide  he cracks a square drive through point! He toed that and it raced to the rope. This outfield is rapid!
0.2,4,Lalor,Khawaja, walks at him  gets a short ball and he pulls over short fine! Good thinking to force the short ball by walking at him.
0.1,0,Lalor,Khawaja, good length  hint of shape away  he defends to cover
